Industry ,Cloud Computing,Email / Office ,Finance,CRM,Security,Database-Hosting,Remote Date-Storage,Computing Power,Hosted Testing Environment,Other
"Agriculture, forestry, & fishing",44,66,86,6,54,8,48,6,3,3
Mining(4),56,63,61,13,59,28,54,20,15,4
Manufacturing,53,74,74,21,60,30,61,13,11,2
"Electricity, gas, water, & waste services(4)",57,75,74,25,56,40,67,20,23,7
Construction,54,72,69,17,50,18,57,9,5,3
Wholesale trade,49,78,67,32,63,39,63,13,12,4
Retail trade,43,60,72,22,59,32,66,15,18,6
Accommodation & food services,29,71,83,18,44,25,53,13,10,0
"Transport, postal, & warehousing",52,69,60,23,54,29,57,11,15,3
Information media & telecommunications,69,81,69,42,69,53,78,41,46,4
Financial & insurance services,73,79,65,48,72,54,81,31,36,1
"Rental, hiring, & real estate services",69,78,66,33,61,32,64,21,13,4
"Professional, scientific, & technical services",69,81,75,40,75,50,70,30,34,3
Administrative & support services,58,75,69,37,54,35,64,12,16,4
Education & training,56,78,79,45,48,35,57,7,17,1
Health care & social assistance,52,66,70,22,62,36,66,16,10,4
Arts & recreation services,42,75,70,42,65,20,60,8,7,0
Other services,49,61,71,21,50,29,60,17,3,5